ex2		
		
alpha	num_iters	updated_cost
0.1	100	2.04E+09
	500	2.04E+09
	1000	2.04E+09
0.01	100	1.06E+10
	500	2.07E+09
	700	2.05E+09
	1000	2.04E+09
	1100	2.04E+09
	1500	2.04E+09
	2000	2.04E+09
0.001	2000	2.04E+09
	2500	2.61E+09
	3000	2.30E+09
	3500	2.17E+09
	4000	2.11E+09
	4500	2.08E+09
	5000	2.07E+09
	6000	2.05E+09
	12000	2.04E+09
	15000	2.04E+09
0.3	500	
0.03	2000	2.04E+09
0.003	15000	2.04E+09

